,Unnamed: 0,headline,url,publisher,date,stock
1304084,1307105,Notable earnings after Thursday's close,http://seekingalpha.com/news/3225116-notable-earnings-thursday-s-close?source=partner_benzinga,Seeking Alpha,2016-11-16 00:00:00,POST
871819,873877,"Intersil Beats 1Q Earnings, Revs Lag - Analyst Blog",http://www.zacks.com/stock/news/98175/intersil-beats-1q-earnings-revs-lag,Zacks,2013-04-29 00:00:00,ISIL
171302,171756,Brunswick (BC) Plans To Spin-Off Fitness Business - Slideshow,https://seekingalpha.com/article/4153223-brunswick-bc-plans-spin-fitness-business-slideshow?source=partner_benzinga,Seeking Alpha,2018-03-05 00:00:00,BC
1645188,1649033,Consolidated Communications (CNSL) Q2 Earnings: What's Up?,http://www.zacks.com/stock/news/453543/consolidated-communications-cnsl-q2-earnings-whats-up?cid=CS-BENZ-FT-analyst_blog|earnings_preview-453543,Zacks,2019-07-30 00:00:00,TU
1161702,1164433,"Day Two Keynote Speaker, Charlie Riedl with CLNG, Announced for EnerCom Dallas Energy ...",http://www.gurufocus.com/news/1027489/day-two-keynote-speaker-charlie-riedl-with-clng-announced-for-enercom-dallas-energy-investment-conference-february-1112-2020,GuruFocus,2020-02-03 00:00:00,NOG
542223,543540,EQT Rubbishes JANA Claims on Rice Energy Buyout Synergies,http://www.zacks.com/stock/news/279038/eqt-rubbishes-jana-claims-on-rice-energy-buyout-synergies?cid=CS-BENZ-FT-279038,Zacks,2017-10-17 00:00:00,EQT
1810425,1814710,Retailers look for government help for shipping crisis,http://seekingalpha.com/news/3206838-retailers-look-government-help-shipping-crisis?source=partner_benzinga,Seeking Alpha,2016-09-02 00:00:00,XLY
1519282,1522858,Sempra Energy Donates To Fisher House Foundation As Part Of Commitment To Veteran Causes,https://www.benzinga.com/node/14776768,GuruFocus,2019-11-11 00:00:00,SRE
1017663,1020045,"Still Bullish on BioMarin, Lexicon Pharma",https://www.benzinga.com/content/thestreet-com/12/11/3066252/still-bullish-on-biomarin-lexicon-pharma,webmaster,2012-11-07 00:00:00,LXRX
4069,4132,MoneyGram Shares Jump 50% As Western Union Reportedly Looks For Acquisition,https://talkmarkets.com/content/moneygram-shares-jump-50-as-western-union-reportedly-looks-for-acquisition?post=264127,TalkMarkets,2020-06-02 00:00:00,AAPL
